Year,Value,Units,Series,GeoCode
2019,1.4,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2020,2.6,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1996,0.1,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1997,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1998,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1999,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2000,0.5,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2001,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2002,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2003,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2004,0.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2005,0.1,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2006,0.1,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2007,0.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2008,0.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2009,0.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2010,0.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2011,0.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2012,0.3,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2013,0.3,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2014,0.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2015,0.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2016,0.1,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2017,0.1,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2018,0.1,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2019,0.1,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2020,0.0,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1996,0.4,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1997,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1998,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1999,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2000,0.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2001,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2002,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2003,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2004,0.8,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2005,1.0,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2006,0.9,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2007,0.8,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2008,0.5,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2009,0.3,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2010,0.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2011,0.1,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2012,0.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2013,0.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2014,0.0,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2015,-0.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2016,-0.5,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2017,-0.6,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2018,-0.4,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2019,-0.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2020,0.0,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1996,4.5,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1997,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1998,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1999,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2000,4.9,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2001,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2002,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2003,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2004,3.9,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2005,4.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2006,3.8,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2007,3.9,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2008,3.6,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2009,3.6,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2010,3.6,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2011,2.9,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2012,3.1,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2013,2.7,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2014,2.7,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2015,3.0,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2016,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2017,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2018,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2019,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2020,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1996,6.0,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1997,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1998,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1999,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2000,7.6,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2001,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2002,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2003,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2004,8.7,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2005,8.6,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2006,7.7,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2007,7.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2008,7.8,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2009,8.1,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2010,8.0,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2011,7.0,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2012,5.1,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2013,3.8,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2014,2.5,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2015,3.1,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2016,6.8,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2017,4.2,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2018,3.9,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2019,2.5,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2020,-1.7,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
