Year,Units,degree of urbanisation,federal state,GeoCode,Value
2019,m² per inhabitant and year,,,,-0.6
2020,m² per inhabitant and year,,,,-1.3
2004,m² per inhabitant and year,,,,
2005,m² per inhabitant and year,,,,
2006,m² per inhabitant and year,,,,
2007,m² per inhabitant and year,,,,
2008,m² per inhabitant and year,,,,
2009,m² per inhabitant and year,,,,-1.3
2010,m² per inhabitant and year,,,,-1.3
2011,m² per inhabitant and year,,,,-1.2
2012,m² per inhabitant and year,,,,-1.2
2013,m² per inhabitant and year,,,,-1.2
2014,m² per inhabitant and year,,,,-1.1
2015,m² per inhabitant and year,,,,-1.2
2016,m² per inhabitant and year,,,,-0.6
2017,m² per inhabitant and year,,,,-0.3
2018,m² per inhabitant and year,,,,-0.1
2019,m² per inhabitant and year,,,,0.1
2020,m² per inhabitant and year,,,,-0.3
2004,m² per inhabitant and year,,,,
2005,m² per inhabitant and year,,,,
2006,m² per inhabitant and year,,,,
2007,m² per inhabitant and year,,,,
2008,m² per inhabitant and year,,,,
2009,m² per inhabitant and year,,,,-3.2
2010,m² per inhabitant and year,,,,-4.1
2011,m² per inhabitant and year,,,,-4.2
2012,m² per inhabitant and year,,,,-4.4
2013,m² per inhabitant and year,,,,-4.4
2014,m² per inhabitant and year,,,,-4.0
2015,m² per inhabitant and year,,,,-3.7
2016,m² per inhabitant and year,,,,-2.1
2017,m² per inhabitant and year,,,,-2.1
2018,m² per inhabitant and year,,,,-2.0
2019,m² per inhabitant and year,,,,-2.3
2020,m² per inhabitant and year,,,,-3.6
2004,m² per inhabitant and year,,,,-5.2
2005,m² per inhabitant and year,,,,-5.8
2006,m² per inhabitant and year,,,,-5.9
2007,m² per inhabitant and year,,,,-6.0
2008,m² per inhabitant and year,,,,-4.8
2009,m² per inhabitant and year,,,,-3.2
2010,m² per inhabitant and year,,,,-2.0
2011,m² per inhabitant and year,,,,-1.2
2012,m² per inhabitant and year,,,,-0.8
2013,m² per inhabitant and year,,,,-1.0
2014,m² per inhabitant and year,,,,-1.1
2015,m² per inhabitant and year,,,,-0.6
2016,m² per inhabitant and year,,,,-0.8
2017,m² per inhabitant and year,,,,-0.4
2018,m² per inhabitant and year,,,,-0.5
2019,m² per inhabitant and year,,,,-1.3
2020,m² per inhabitant and year,,,,-1.8
2004,m² per inhabitant and year,,,,
2005,m² per inhabitant and year,,,,
2006,m² per inhabitant and year,,,,
2007,m² per inhabitant and year,,,,
2008,m² per inhabitant and year,,,,
2009,m² per inhabitant and year,,,,-0.3
2010,m² per inhabitant and year,,,,-0.7
2011,m² per inhabitant and year,,,,-1.0
2012,m² per inhabitant and year,,,,-1.0
2013,m² per inhabitant and year,,,,-1.1
2014,m² per inhabitant and year,,,,-0.9
2015,m² per inhabitant and year,,,,-0.3
2016,m² per inhabitant and year,,,,-0.3
2017,m² per inhabitant and year,,,,-0.3
2018,m² per inhabitant and year,,,,-0.2
2019,m² per inhabitant and year,,,,-0.2
2020,m² per inhabitant and year,,,,-0.1
2004,m² per inhabitant and year,,,,
2005,m² per inhabitant and year,,,,
2006,m² per inhabitant and year,,,,
2007,m² per inhabitant and year,,,,
2008,m² per inhabitant and year,,,,
2009,m² per inhabitant and year,,,,-0.7
2010,m² per inhabitant and year,,,,-0.5
2011,m² per inhabitant and year,,,,-0.6
2012,m² per inhabitant and year,,,,-0.8
2013,m² per inhabitant and year,,,,-1.0
2014,m² per inhabitant and year,,,,-1.1
2015,m² per inhabitant and year,,,,-0.6
2016,m² per inhabitant and year,,,,-0.8
2017,m² per inhabitant and year,,,,-0.3
2018,m² per inhabitant and year,,,,-0.6
2019,m² per inhabitant and year,,,,-1.5
2020,m² per inhabitant and year,,,,-2.3
2004,m² per inhabitant and year,,,,-2.6
2005,m² per inhabitant and year,,,,-2.4
2006,m² per inhabitant and year,,,,-2.4
